Qcount	Qval	Angsum
248	-3.67109	27.1789
249	-3.65836	27.1779
250	-3.64564	27.1711
251	-3.63292	27.1836
252	-3.62019	27.1772
253	-3.60747	27.1688
254	-3.59475	27.1664
255	-3.58202	27.1592
256	-3.5693	27.172
257	-3.55657	27.1598
258	-3.54385	27.1572
259	-3.53113	27.1549
260	-3.5184	27.1555
261	-3.50568	27.1686
262	-3.49296	27.1525
263	-3.48023	27.1402
264	-3.46751	27.1346
265	-3.45478	27.1451
266	-3.44206	27.1404
267	-3.42934	27.1444
268	-3.41661	27.1356
269	-3.40389	27.1306
270	-3.39117	27.1323
271	-3.37844	27.1261
272	-3.36572	27.111
273	-3.35299	27.1279
274	-3.34027	27.1169
275	-3.32755	27.0895
276	-3.31482	27.1099
277	-3.3021	27.1079
278	-3.28938	27.1043
279	-3.27665	27.0946
280	-3.26393	27.0834
281	-3.2512	27.1058
282	-3.23848	27.0906
283	-3.22576	27.071
284	-3.21303	27.0575
285	-3.20031	27.0434
286	-3.18759	27.0533
287	-3.17486	27.0571
288	-3.16214	27.0708
289	-3.14941	27.0603
290	-3.13669	27.0523
291	-3.12397	27.0144
292	-3.11124	27.0392
293	-3.09852	27.019
294	-3.0858	27.0414
295	-3.07307	26.9953
296	-3.06035	27.0262
297	-3.04763	26.9912
298	-3.0349	26.9889
299	-3.02218	26.9801
300	-3.00945	26.9743
301	-2.99673	27.017
302	-2.98401	26.9985
303	-2.97128	26.954
304	-2.95856	26.9531
305	-2.94584	26.9922
306	-2.93311	26.9639
307	-2.92039	26.9125
308	-2.90766	26.9432
309	-2.89494	26.9356
310	-2.88222	26.9397
311	-2.86949	26.9
312	-2.85677	26.8878
313	-2.84405	26.8732
314	-2.83132	26.8578
315	-2.8186	26.8805
316	-2.80587	26.826
317	-2.79315	26.8946
318	-2.78043	26.85
319	-2.7677	26.8094
320	-2.75498	26.8131
321	-2.74226	26.8092
322	-2.72953	26.7535
323	-2.71681	26.782
324	-2.70408	26.7874
325	-2.69136	26.8204
326	-2.67864	26.8045
327	-2.66591	26.7545
328	-2.65319	26.7435
329	-2.64047	26.6953
330	-2.62774	26.6594
331	-2.61502	26.6897
332	-2.60229	26.6109
333	-2.58957	26.6154
334	-2.57685	26.664
335	-2.56412	26.5901
336	-2.5514	26.5829
337	-2.53868	26.6019
338	-2.52595	26.6212
339	-2.51323	26.6411
340	-2.5005	26.5067
341	-2.48778	26.5558
342	-2.47506	26.4832
343	-2.46233	26.47
344	-2.44961	26.463
345	-2.43689	26.4563
346	-2.42416	26.3514
347	-2.41144	26.3756
348	-2.39872	26.3339
349	-2.38599	26.2228
350	-2.37327	26.4603
351	-2.36054	26.298
352	-2.34782	26.3447
353	-2.3351	26.2775
354	-2.32237	26.362
355	-2.30965	26.3393
356	-2.29693	26.2528
357	-2.2842	26.1241
358	-2.27148	26.331
359	-2.25875	26.258
360	-2.24603	26.307
361	-2.23331	26.2775
362	-2.22058	26.123
363	-2.20786	26.129
364	-2.19514	26.2057
365	-2.18241	26.0716
366	-2.16969	26.0919
367	-2.15696	26.0246
368	-2.14424	26.1248
369	-2.13152	25.9618
370	-2.11879	25.9919
371	-2.10607	25.8286
372	-2.09335	25.8908
373	-2.08062	25.9259
374	-2.0679	25.8949
375	-2.05517	25.9221
376	-2.04245	25.8557
377	-2.02973	25.9007
378	-2.017	25.8643
379	-2.00428	25.7628
380	-1.99156	25.7112
381	-1.97883	25.9334
382	-1.96611	25.5469
383	-1.95338	25.6479
384	-1.94066	25.7996
